dummy,route,year,affinis,auricomus,bimaculatus,borealis,citrinus,fervidus,flavidus,griseocollis,impatiens,insularis,pensylvanicus,perplexus,rufocinctus,ternarius,terricola,vagans
1,3,2017,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4
2,3,2018,0,0,0,6,0,2,0,0,2,0,0,0,2,0,0,8
3,3,2019,0,0,3,14,0,0,0,6,2,0,0,0,1,0,0,5
4,3,2020,0,0,2,5,0,7,0,0,6,0,6,0,0,0,0,18
5,7,2017,1,0,28,0,0,0,0,20,11,0,0,0,0,8,0,0
6,8,2017,0,0,10,0,0,0,0,2,0,0,0,0,1,0,0,3
7,8,2018,6,8,18,0,0,0,0,15,135,0,0,0,0,0,0,4
8,8,2019,1,5,29,0,1,4,1,25,261,0,0,0,0,0,0,10
9,8,2020,3,8,40,0,1,1,0,9,138,0,1,0,1,0,0,7
10,9,2016,0,0,47,0,0,0,0,6,9,0,0,0,0,0,0,2
11,9,2017,0,0,13,0,0,0,0,22,8,0,0,0,0,0,0,11
12,9,2018,0,0,3,0,0,0,0,4,28,0,0,0,0,0,0,2
13,9,2019,0,2,19,1,0,7,0,23,25,0,0,0,1,0,0,5
14,10,2017,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3
15,10,2020,0,0,21,0,0,7,0,3,7,0,0,0,0,0,0,0
16,11,2017,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0
17,11,2018,0,0,1,0,0,0,0,9,9,0,0,0,0,0,0,0
18,11,2019,0,0,20,0,0,6,0,24,2,0,0,0,0,0,0,0
19,15,2017,0,0,18,4,1,2,0,4,29,0,1,0,0,7,0,17
20,15,2018,0,0,19,0,0,2,0,15,22,0,0,2,0,2,0,11
21,15,2019,0,0,13,0,0,2,0,3,32,0,0,0,0,0,0,24
22,15,2020,0,0,14,3,3,7,0,11,33,0,0,0,2,2,0,10
23,16,2017,0,0,17,0,0,1,0,9,7,0,0,0,0,1,1,2
24,16,2018,0,1,7,1,0,3,0,0,16,0,0,0,0,0,0,4
25,16,2019,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0
26,16,2020,0,0,11,0,0,0,0,0,9,0,0,0,0,0,0,3
27,17,2016,0,7,31,5,0,4,0,16,4,0,0,0,0,0,0,4
28,17,2017,0,3,22,6,2,1,0,36,15,0,1,0,0,0,0,14
29,17,2019,0,0,0,0,0,3,0,1,9,0,0,0,0,0,0,9
30,18,2019,0,0,8,1,0,3,0,24,36,0,2,0,0,0,0,12
31,18,2020,0,0,16,1,0,2,0,7,22,0,0,0,1,0,1,11
32,22,2016,0,0,1,6,6,0,0,0,6,0,0,0,0,32,1,0
33,22,2017,0,0,0,3,0,0,1,1,0,0,0,0,0,61,0,22
34,22,2018,0,0,0,1,0,0,0,0,0,0,0,1,1,31,0,22
35,22,2019,1,0,0,0,1,1,8,0,1,0,0,0,3,149,1,29
36,23,2018,0,0,1,5,4,0,0,16,17,0,0,0,0,14,0,50
37,25,2016,0,0,4,8,1,0,0,1,2,0,0,0,0,3,3,55
38,25,2019,0,0,0,3,0,1,0,1,0,0,0,0,0,23,0,6
39,26,2017,0,0,3,5,0,3,0,1,9,0,0,0,0,19,0,28
40,26,2018,0,0,5,0,0,0,0,3,6,0,0,0,0,9,0,13
41,26,2019,0,1,8,1,0,0,0,4,1,0,0,0,0,13,0,45
42,26,2020,0,0,4,2,0,0,0,6,22,0,0,0,0,10,1,43
43,30,2017,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
44,32,2017,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,7
45,32,2018,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
46,34,2020,0,0,19,3,0,0,0,0,0,0,0,1,1,36,11,11
47,35,2020,0,0,0,0,0,1,0,2,1,0,0,0,5,39,6,18
48,37,2016,0,0,1,0,2,0,0,0,0,1,0,0,0,95,1,11
49,44,2020,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
50,46,2018,0,0,1,0,2,0,0,3,2,0,0,1,1,57,0,9
51,46,2019,0,0,0,0,0,0,0,0,5,0,0,0,1,59,0,8
52,46,2020,0,4,0,2,0,1,0,0,1,0,0,0,3,48,0,6
53,55,2018,0,0,2,0,4,3,0,5,18,0,0,0,1,0,0,2
54,55,2019,0,2,6,5,1,7,0,7,9,0,0,0,1,0,0,11
55,55,2020,0,3,15,0,0,18,1,5,21,0,3,0,0,0,0,15
56,57,2018,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,4
57,58,2016,0,0,36,1,0,0,0,6,14,0,0,0,0,5,0,15
58,58,2017,0,0,29,4,0,0,0,19,12,0,0,0,1,0,0,16
59,58,2018,0,0,21,7,0,3,0,9,21,0,0,0,0,1,0,17
60,58,2019,0,0,29,0,0,1,0,28,6,0,0,0,1,1,0,24
61,58,2020,0,0,40,1,0,0,0,8,7,0,0,0,0,0,0,11
62,59,2016,0,0,20,0,0,2,0,18,0,0,0,0,0,0,0,14
63,59,2020,0,0,31,0,0,7,0,6,4,0,0,0,0,0,0,14
64,60,2017,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1
65,60,2020,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0
66,67,2020,0,0,0,1,0,0,0,0,3,0,0,0,0,11,0,10
67,69,2020,0,0,10,16,0,6,0,16,55,0,0,0,2,3,0,13
68,70,2017,0,2,4,0,0,0,0,7,3,0,0,0,0,0,0,2
69,73,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,58,0,15
70,73,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,16
71,74,2018,0,0,0,10,1,0,0,8,0,0,0,4,0,94,6,35
72,74,2019,0,0,1,23,0,0,0,14,0,0,0,17,1,117,5,71
73,74,2020,0,0,0,44,0,0,6,8,2,0,0,14,0,105,15,99
74,75,2018,0,0,1,7,0,1,0,4,0,0,0,4,0,128,5,62
75,102,2018,0,1,15,0,0,0,0,11,1,0,0,0,0,1,0,2
76,139,2016,0,0,4,4,2,0,0,3,0,0,0,0,0,31,1,95
77,139,2017,0,0,0,10,0,0,0,18,0,0,0,0,0,29,2,69
78,139,2018,0,0,0,2,0,0,1,7,0,0,0,0,0,42,4,31
79,139,2019,0,0,0,7,1,0,0,9,0,0,0,0,0,40,2,31
80,139,2020,0,0,1,3,0,0,0,0,1,0,0,0,0,50,4,39
81,140,2020,0,0,0,6,0,0,0,1,0,0,0,0,0,9,1,0
82,153,2017,0,0,5,0,3,0,0,11,6,0,0,0,0,2,0,7
83,400,2016,0,0,55,0,0,0,0,11,19,0,0,0,0,0,0,19
84,400,2017,0,1,62,0,0,1,0,16,13,0,0,0,0,0,0,17
85,400,2018,0,1,58,0,0,1,0,26,21,0,0,0,0,0,0,23
86,400,2019,0,2,54,0,0,2,0,29,12,0,0,0,0,0,0,31
87,401,2017,0,2,2,0,0,0,0,6,57,0,1,0,5,0,0,0
88,401,2020,1,22,46,0,0,3,0,12,50,0,0,0,7,0,0,22
89,402,2018,0,3,14,0,1,2,0,14,15,0,2,0,3,0,0,6
90,402,2020,0,1,42,4,0,0,0,16,61,0,0,0,31,0,0,111
91,403,2018,0,0,4,0,0,0,0,26,129,0,0,0,24,0,1,16
92,403,2019,0,0,1,0,0,0,0,10,42,0,0,0,28,0,0,3
93,403,2020,0,0,3,0,0,0,0,21,125,0,0,1,5,0,0,7
94,404,2019,0,35,83,0,0,0,0,46,72,0,0,1,1,0,0,6
95,404,2020,5,13,47,0,0,0,0,11,90,0,3,0,0,0,0,4
96,405,2019,0,0,2,8,0,0,15,18,0,0,0,9,1,440,23,83
97,405,2020,0,0,1,2,1,0,3,4,2,1,0,15,0,132,8,43
98,900,2016,0,4,7,0,4,0,0,20,21,0,0,0,0,0,0,12
99,900,2018,0,2,7,0,0,1,0,82,61,0,1,0,2,0,0,19
100,900,2020,0,0,7,0,0,0,0,15,22,0,0,0,1,0,0,9
101,902,2017,0,0,2,1,0,0,0,8,2,0,0,0,0,11,0,143
102,903,2018,0,0,2,0,0,2,0,2,1,0,0,0,0,0,0,1
