"","route","years","ecoprov","lat","long","routename","developed","forest","grassland","crops","wetland","water"
"1",3,4,"Broadleaf",43.820515,-93.284159,"Hartland",0.044773919,0.012289127,0.009752754,0.891110306,0.022553522,0.019286627
"2",3,4,"Broadleaf",43.820515,-93.284159,"Hartland",0.044773919,0.012289127,0.009752754,0.891110306,0.022553522,0.019286627
"3",3,4,"Broadleaf",43.820515,-93.284159,"Hartland",0.044773919,0.012289127,0.009752754,0.891110306,0.022553522,0.019286627
"4",3,4,"Broadleaf",43.820515,-93.284159,"Hartland",0.044773919,0.012289127,0.009752754,0.891110306,0.022553522,0.019286627
"5",7,1,"Broadleaf",44.15894,-92.01843,"Millville",0.039248318,0.204983582,0.056503094,0.622779058,0.066767047,0.00898011
"6",8,4,"Broadleaf",44.653068,-93.290599,"Lakeville",0.25893227,0.062541514,0.008931746,0.609401408,0.040641388,0.014161756
"7",8,4,"Broadleaf",44.653068,-93.290599,"Lakeville",0.25893227,0.062541514,0.008931746,0.609401408,0.040641388,0.014161756
"8",8,4,"Broadleaf",44.653068,-93.290599,"Lakeville",0.25893227,0.062541514,0.008931746,0.609401408,0.040641388,0.014161756
"9",8,4,"Broadleaf",44.653068,-93.290599,"Lakeville",0.25893227,0.062541514,0.008931746,0.609401408,0.040641388,0.014161756
"10",9,4,"Broadleaf",44.99238,-93.867367,"Minnetonka",0.129429601,0.147130202,0.003759219,0.551646147,0.132292693,0.03523121
"11",9,4,"Broadleaf",44.99238,-93.867367,"Minnetonka",0.129429601,0.147130202,0.003759219,0.551646147,0.132292693,0.03523121
"12",9,4,"Broadleaf",44.99238,-93.867367,"Minnetonka",0.129429601,0.147130202,0.003759219,0.551646147,0.132292693,0.03523121
"13",9,4,"Broadleaf",44.99238,-93.867367,"Minnetonka",0.129429601,0.147130202,0.003759219,0.551646147,0.132292693,0.03523121
"14",10,2,"Broadleaf",44.6301,-94.0327,"Arlington",0.048010668,0.034662158,0.000411288,0.895157462,0.01840196,0.002933455
"15",10,2,"Broadleaf",44.6301,-94.0327,"Arlington",0.048010668,0.034662158,0.000411288,0.895157462,0.01840196,0.002933455
"16",11,3,"Prairie",44.26155,-94.636989,"Courtland",0.052270746,0.043106339,0.003374846,0.824185304,0.058082097,0.016452937
"17",11,3,"Prairie",44.26155,-94.636989,"Courtland",0.052270746,0.043106339,0.003374846,0.824185304,0.058082097,0.016452937
"18",11,3,"Prairie",44.26155,-94.636989,"Courtland",0.052270746,0.043106339,0.003374846,0.824185304,0.058082097,0.016452937
"19",15,4,"Broadleaf",45.57316,-93.49225,"Princeton",0.087596083,0.121658198,0.002688009,0.628714732,0.152740321,0.005393881
"20",15,4,"Broadleaf",45.57316,-93.49225,"Princeton",0.087596083,0.121658198,0.002688009,0.628714732,0.152740321,0.005393881
"21",15,4,"Broadleaf",45.57316,-93.49225,"Princeton",0.087596083,0.121658198,0.002688009,0.628714732,0.152740321,0.005393881
"22",15,4,"Broadleaf",45.57316,-93.49225,"Princeton",0.087596083,0.121658198,0.002688009,0.628714732,0.152740321,0.005393881
"23",16,4,"Broadleaf",45.136111,-93.7969444,"Osseo",0.098262901,0.136176335,0.006764123,0.613065981,0.072365308,0.072217762
"24",16,4,"Broadleaf",45.136111,-93.7969444,"Osseo",0.098262901,0.136176335,0.006764123,0.613065981,0.072365308,0.072217762
"25",16,4,"Broadleaf",45.136111,-93.7969444,"Osseo",0.098262901,0.136176335,0.006764123,0.613065981,0.072365308,0.072217762
"26",16,4,"Broadleaf",45.136111,-93.7969444,"Osseo",0.098262901,0.136176335,0.006764123,0.613065981,0.072365308,0.072217762
"27",17,3,"Prairie",45.133417,-94.508608,"Knapp",0.080355043,0.064746868,0.004382079,0.698797783,0.105823351,0.043069946
"28",17,3,"Prairie",45.133417,-94.508608,"Knapp",0.080355043,0.064746868,0.004382079,0.698797783,0.105823351,0.043069946
"29",17,3,"Prairie",45.133417,-94.508608,"Knapp",0.080355043,0.064746868,0.004382079,0.698797783,0.105823351,0.043069946
"30",18,2,"Broadleaf",45.459973,-94.325685,"StStephen",0.102650555,0.16026082,0.012483006,0.531126254,0.150641037,0.041223915
"31",18,2,"Broadleaf",45.459973,-94.325685,"StStephen",0.102650555,0.16026082,0.012483006,0.531126254,0.150641037,0.041223915
"32",22,4,"Laurentian",46.722195,-92.670958,"Cromwell",0.018617877,0.269568903,0.001387489,0.018498431,0.661470646,0.030333947
"33",22,4,"Laurentian",46.722195,-92.670958,"Cromwell",0.018617877,0.269568903,0.001387489,0.018498431,0.661470646,0.030333947
"34",22,4,"Laurentian",46.722195,-92.670958,"Cromwell",0.018617877,0.269568903,0.001387489,0.018498431,0.661470646,0.030333947
"35",22,4,"Laurentian",46.722195,-92.670958,"Cromwell",0.018617877,0.269568903,0.001387489,0.018498431,0.661470646,0.030333947
"36",23,1,"Laurentian",46.0551,-93.7499,"WigwamBay",0.048053212,0.313491953,0.001765556,0.160849264,0.468749045,0.005676286
"37",25,2,"Laurentian",46.787777,-94.738333,"Backus",0.024334462,0.471111625,0.019584309,0.109288097,0.347107125,0.028423807
"38",25,2,"Laurentian",46.787777,-94.738333,"Backus",0.024334462,0.471111625,0.019584309,0.109288097,0.347107125,0.028423807
"39",26,4,"Laurentian",46.680548,-94.742745,"PineRiver",0.048675796,0.37830393,0.030669901,0.173772548,0.3478964,0.020354242
"40",26,4,"Laurentian",46.680548,-94.742745,"PineRiver",0.048675796,0.37830393,0.030669901,0.173772548,0.3478964,0.020354242
"41",26,4,"Laurentian",46.680548,-94.742745,"PineRiver",0.048675796,0.37830393,0.030669901,0.173772548,0.3478964,0.020354242
"42",26,4,"Laurentian",46.680548,-94.742745,"PineRiver",0.048675796,0.37830393,0.030669901,0.173772548,0.3478964,0.020354242
"43",30,1,"Prairie",46.449,-96.2335,"Tenney",0.034477245,0.007392473,0.000909558,0.835389145,0.112919199,0.008358014
"44",32,2,"Laurentian",47.648611,-90.848611,"Lockport",0.01761553,0.643244373,0.062813314,0,0.252322355,0.023521641
"45",32,2,"Laurentian",47.648611,-90.848611,"Lockport",0.01761553,0.643244373,0.062813314,0,0.252322355,0.023521641
"46",34,1,"Laurentian",47.200278,-91.703888,"HartLake",0.029595067,0.479585624,0.027349566,6.01e-05,0.405538729,0.056812755
"47",35,1,"Laurentian",47.061328,-92.969578,"Floodwood",0.019229031,0.144436294,0.003893024,0.048900002,0.783255328,0.000274159
"48",37,1,"Laurentian",47.3934417,-93.7846952,"Cohasset",0.035355533,0.32690156,0.011387632,0.067556571,0.36420462,0.194206105
"49",44,1,"Prairie",47.935278,-96.309722,"Wylie",0.050297341,0.011149979,0.001699189,0.762558375,0.15637221,0.017875988
"50",46,3,"Laurentian",48.3081601,-93.7334409,"LittleFork",0.019518355,0.157197448,0.021478207,0.012423634,0.775834521,0.009478057
"51",46,3,"Laurentian",48.3081601,-93.7334409,"LittleFork",0.019518355,0.157197448,0.021478207,0.012423634,0.775834521,0.009478057
"52",46,3,"Laurentian",48.3081601,-93.7334409,"LittleFork",0.019518355,0.157197448,0.021478207,0.012423634,0.775834521,0.009478057
"53",55,3,"Broadleaf",43.7287284,-93.0199233,"Austin",0.057497174,0.015401572,0.029921422,0.872518258,0.022670921,0.001653276
"54",55,3,"Broadleaf",43.7287284,-93.0199233,"Austin",0.057497174,0.015401572,0.029921422,0.872518258,0.022670921,0.001653276
"55",55,3,"Broadleaf",43.7287284,-93.0199233,"Austin",0.057497174,0.015401572,0.029921422,0.872518258,0.022670921,0.001653276
"56",57,1,"Prairie",43.5868527,-95.6475953,"Worthington",0.046965003,0.009554382,0.025069377,0.808377848,0.038394305,0.071236663
"57",58,5,"Broadleaf",44.227741,-92.383944,"Frontenac",0.056791693,0.285465656,0.050525429,0.58067815,0.012785996,0.011508177
"58",58,5,"Broadleaf",44.227741,-92.383944,"Frontenac",0.056791693,0.285465656,0.050525429,0.58067815,0.012785996,0.011508177
"59",58,5,"Broadleaf",44.227741,-92.383944,"Frontenac",0.056791693,0.285465656,0.050525429,0.58067815,0.012785996,0.011508177
"60",58,5,"Broadleaf",44.227741,-92.383944,"Frontenac",0.056791693,0.285465656,0.050525429,0.58067815,0.012785996,0.011508177
"61",58,5,"Broadleaf",44.227741,-92.383944,"Frontenac",0.056791693,0.285465656,0.050525429,0.58067815,0.012785996,0.011508177
"62",59,2,"Broadleaf",44.321111,-93.748611,"LeCenter",0.054422214,0.04397243,0.001302319,0.771655437,0.07973178,0.048587505
"63",59,2,"Broadleaf",44.321111,-93.748611,"LeCenter",0.054422214,0.04397243,0.001302319,0.771655437,0.07973178,0.048587505
"64",60,2,"Prairie",44.616379,-94.893132,"Franklin",0.048152383,0.031339825,0.003033285,0.860517677,0.05014828,0.005638237
"65",60,2,"Prairie",44.616379,-94.893132,"Franklin",0.048152383,0.031339825,0.003033285,0.860517677,0.05014828,0.005638237
"66",67,1,"Laurentian",46.475556,-92.6575,"Mahtowa",0.041756483,0.373808717,0.003123102,0.108817972,0.446777677,0.023616354
"67",69,1,"Laurentian",46.243278,-94.148446,"Brainerd",0.040397368,0.265831845,0.008891968,0.461584949,0.187966246,0.034576999
"68",70,1,"Laurentian",46.919,-95.514,"Ashby",0.030428754,0.319695388,0.009835076,0.350044909,0.203482487,0.082425478
"69",73,2,"Laurentian",47.647707,-92.34719,"Babbitt",0.03253677,0.39574206,0.017389178,0.007396968,0.50965886,0.036285036
"70",73,2,"Laurentian",47.647707,-92.34719,"Babbitt",0.03253677,0.39574206,0.017389178,0.007396968,0.50965886,0.036285036
"71",74,3,"Laurentian",47.48144,-93.74195,"Bigfork",0.02874458,0.424145984,0.007919141,0.013857415,0.45601766,0.069275001
"72",74,3,"Laurentian",47.48144,-93.74195,"Bigfork",0.02874458,0.424145984,0.007919141,0.013857415,0.45601766,0.069275001
"73",74,3,"Laurentian",47.48144,-93.74195,"Bigfork",0.02874458,0.424145984,0.007919141,0.013857415,0.45601766,0.069275001
"74",75,1,"Laurentian",47.559095,-94.122554,"Blackduck",0.027974931,0.481882705,0.009678846,0.003487131,0.404240422,0.072291017
"75",102,1,"Broadleaf",43.896736,-92.220277,"Chatfield2",0.035488012,0.253426549,0.042046895,0.655824852,0.012415546,0.000423838
"76",139,5,"Laurentian",47.342374,-94.490396,"CassLake",0.024881598,0.579076285,0.003836423,0.000562121,0.348351213,0.043215613
"77",139,5,"Laurentian",47.342374,-94.490396,"CassLake",0.024881598,0.579076285,0.003836423,0.000562121,0.348351213,0.043215613
"78",139,5,"Laurentian",47.342374,-94.490396,"CassLake",0.024881598,0.579076285,0.003836423,0.000562121,0.348351213,0.043215613
"79",139,5,"Laurentian",47.342374,-94.490396,"CassLake",0.024881598,0.579076285,0.003836423,0.000562121,0.348351213,0.043215613
"80",139,5,"Laurentian",47.342374,-94.490396,"CassLake",0.024881598,0.579076285,0.003836423,0.000562121,0.348351213,0.043215613
"81",140,1,"Laurentian",47.65591,-94.88603,"Nebish",0.041373969,0.411755566,0.016251529,0.046163436,0.302622749,0.180252317
"82",153,1,"Broadleaf",43.613321,-91.363699,"Caledonia2",0.036472826,0.441880769,0.011590766,0.484689706,0.022649216,0.001177027
"83",400,4,"Broadleaf",44.205556,-93.67667,"Elysian",0.069499343,0.098561118,0.003098666,0.60151858,0.04218911,0.183247288
"84",400,4,"Broadleaf",44.205556,-93.67667,"Elysian",0.069499343,0.098561118,0.003098666,0.60151858,0.04218911,0.183247288
"85",400,4,"Broadleaf",44.205556,-93.67667,"Elysian",0.069499343,0.098561118,0.003098666,0.60151858,0.04218911,0.183247288
"86",400,4,"Broadleaf",44.205556,-93.67667,"Elysian",0.069499343,0.098561118,0.003098666,0.60151858,0.04218911,0.183247288
"87",401,2,"Broadleaf",44.949504,-92.878965,"LakeElmo",0.268269133,0.171605118,0.003931259,0.477958414,0.014998282,0.061989519
"88",401,2,"Broadleaf",44.949504,-92.878965,"LakeElmo",0.268269133,0.171605118,0.003931259,0.477958414,0.014998282,0.061989519
"89",402,2,"Broadleaf",45.081572,-92.790861,"Stillwater",0.066791286,0.377841092,0.013914355,0.398968714,0.031162535,0.110714514
"90",402,2,"Broadleaf",45.081572,-92.790861,"Stillwater",0.066791286,0.377841092,0.013914355,0.398968714,0.031162535,0.110714514
"91",403,3,"Broadleaf",45.314261,-93.172408,"ElkRiver",0.086421234,0.212496942,0.00563651,0.146157109,0.463330905,0.085634551
"92",403,3,"Broadleaf",45.314261,-93.172408,"ElkRiver",0.086421234,0.212496942,0.00563651,0.146157109,0.463330905,0.085634551
"93",403,3,"Broadleaf",45.314261,-93.172408,"ElkRiver",0.086421234,0.212496942,0.00563651,0.146157109,0.463330905,0.085634551
"94",404,2,"Broadleaf",44.7959,-93.3383,"Bloomington",0.749110193,0.057518276,0.011764999,0.006660052,0.109369551,0.051561507
"95",404,2,"Broadleaf",44.7959,-93.3383,"Bloomington",0.749110193,0.057518276,0.011764999,0.006660052,0.109369551,0.051561507
"96",405,2,"Broadleaf",47.55363,-93.87875,"DeerRiver",0.020831533,0.330242979,0.003901763,0.015506513,0.51312301,0.116330427
"97",405,2,"Broadleaf",47.55363,-93.87875,"DeerRiver",0.020831533,0.330242979,0.003901763,0.015506513,0.51312301,0.116330427
"98",900,3,"Broadleaf",45.465344,-93.71964,"SherburneNr",0.023148954,0.159502153,0.052317497,0.275831229,0.400076309,0.089095585
"99",900,3,"Broadleaf",45.465344,-93.71964,"SherburneNr",0.023148954,0.159502153,0.052317497,0.275831229,0.400076309,0.089095585
"100",900,3,"Broadleaf",45.465344,-93.71964,"SherburneNr",0.023148954,0.159502153,0.052317497,0.275831229,0.400076309,0.089095585
"101",902,1,"Laurentian",47.019446,-95.610204,"TamaracNwr",0.020919592,0.60977816,0.009519463,0.003452171,0.209120357,0.141106889
"102",903,1,"Broadleaf",44.154616,-91.953118,"Whitewater",0.022815158,0.619994063,0.02168565,0.284958277,0.04873597,0.001656353
